canal_itc,dispositivo_itc,transaccion_itc,respuesta_itc,descripcion_trx_banco,descripcion_respuesta_banco
APP,APP,1638,1,Transferencia a Nequi sin inscripción ,El Monto De La Transferencia Supera El Saldo Mßximo Permitido.
SVP,BLP,640,0,Avance Sucursal Virtual,Transacción Exitosa
SVP,BLP,513,441,Grabar Constitución- Fid Desde Cuenta Deposito,Horario No Permitido.
APP,APP,346,30,Pago De Prestamos,Disponible Insuficiente En Cuenta A Debitar
MOV,ALM,531,30,Pago con Validación de Base de Datos App ALM,Disponinble Insuficiente En Cuenta A Debitar
APP,APP,538,44,Transferencia De Fondos Desde Cuenta De Ahorros,Traslado No Efectuado
MOV,MOV,202,52,Recarga De Celular,Clave No Valida
MOV,ALM,626,0,Consulta de saldos,Transacción Exitosa
APP,APP,6012,41,Transferencia Cuenta Bancolombia (Ahorros/Corriente) A Cuenta Nequi Pago Qr,Sistema malo (CANAL)
APP,APP,549,0,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Transacción Exitosa
APP,APP,449,0,Transferencia Desde Inversion Fiduciaria A Cuenta Corriente,Transacción Exitosa
APP,APP,1638,706,Transferencia a Nequi sin inscripción ,Supera Valor Maximo Transacciones Personalizado
APP,APP,438,28,Transferencia De Fondos Desde Cuenta Corriente,Cuenta Destino No Existe
APP,APP,531,31,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Cuenta Destino Tiene Bloqueos
APP,APP,2021,80,Transferencia de QR,No es posible realizar esta operación. Comunícate con nuestra Sucursal Telefónica para ayudarte.
APP,APP,1538,3,Transferencias Cuenta Nequi,En este momento el sistema no está disponible. Intente más tarde.
MOV,ALM,531,53,Pago con Validación de Base de Datos App ALM,Clave No Valida
APP,APP,438,690,Transferencia De Fondos Desde Cuenta Corriente,Transaccion No Permitida
SVP,BLP,364,30,Pago De Credito Hipotecario,Disponible Insuficiente En Cuenta A Debitar
APP,APP,1638,31,Transferencia a Nequi sin inscripción ,"Lo sentimos, tenemos inconvenientes con nuestros sistemas."
APP,APP,529,30,Pago De Tarjeta De Credito Desde Cuenta De Ahorros,Disponible Insuficiente En Cuenta A Debitar
SVP,PSE,522,706,Compra Pse Desde Cuenta De Ahorros,Supera Numero De Operaciones Personalizadas
APP,APP,1606,0,Recibir dinero/Procesar Solicitud,Transacción exitosa
MOV,ALM,531,0,Pago con Validación de Base de Datos App ALM,Transacción Exitosa
SVP,BLP,205,0,Transferencia de bolsillo a cuenta,Transacción Exitosa
APP,APP,6012,124,Transferencia Cuenta Bancolombia (Ahorros/Corriente) A Cuenta Nequi Pago Qr,No Exitosa
